ID,選手名,年,チーム,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
21825130,山﨑　福也,"
                    2015                ",オリックス,17,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.333,.333,.333
21825130,山﨑　福也,"
                    2016                ",オリックス,17,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
21825130,山﨑　福也,"
                    2017                ",オリックス,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
21825130,山﨑　福也,"
                    2018                ",オリックス,7,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,.333,.333,.333
21825130,山﨑　福也,"
                    2019                ",オリックス,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
21825130,山﨑　福也,"
                    2020                ",オリックス,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
71875151,宮城　大弥,"
                    2020                ",オリックス,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
71675139,吉田　一将,"
                    2014                ",オリックス,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
71675139,吉田　一将,"
                    2015                ",オリックス,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000
71675139,吉田　一将,"
                    2016                ",オリックス,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
71675139,吉田　一将,"
                    2017                ",オリックス,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
71675139,吉田　一将,"
                    2018                ",オリックス,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
71675139,吉田　一将,"
                    2019                ",オリックス,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
71675139,吉田　一将,"
                    2020                ",オリックス,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
51155138,荒西　祐大,"
                    2019                ",オリックス,13,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000
51155138,荒西　祐大,"
                    2020                ",オリックス,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
81285131,増井　浩俊,"
                    2010                ",北海道日本ハム,13,6,5,1,2,1,0,0,3,1,0,0,1,0,0,0,3,0,.400,.600,.400
81285131,増井　浩俊,"
                    2011                ",北海道日本ハム,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
81285131,増井　浩俊,"
                    2012                ",北海道日本ハム,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
81285131,増井　浩俊,"
                    2013                ",北海道日本ハム,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
81285131,増井　浩俊,"
                    2014                ",北海道日本ハム,56,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
81285131,増井　浩俊,"
                    2015                ",北海道日本ハム,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
81285131,増井　浩俊,"
                    2016                ",北海道日本ハム,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
81285131,増井　浩俊,"
                    2017                ",北海道日本ハム,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
81285131,増井　浩俊,"
                    2018                ",オリックス,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
81285131,増井　浩俊,"
                    2019                ",オリックス,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
81285131,増井　浩俊,"
                    2020                ",オリックス,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
53355134,山本　由伸,"
                    2017                ",オリックス,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
53355134,山本　由伸,"
                    2018                ",オリックス,54,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000
53355134,山本　由伸,"
                    2019                ",オリックス,20,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.000,.000,.000
53355134,山本　由伸,"
                    2020                ",オリックス,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
83185134,山岡　泰輔,"
                    2017                ",オリックス,24,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,.000,.000,.000
83185134,山岡　泰輔,"
                    2018                ",オリックス,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
83185134,山岡　泰輔,"
                    2019                ",オリックス,26,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,.000,.000,.000
83185134,山岡　泰輔,"
                    2020                ",オリックス,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
81785132,近藤　大亮,"
                    2016                ",オリックス,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
81785132,近藤　大亮,"
                    2017                ",オリックス,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
81785132,近藤　大亮,"
                    2018                ",オリックス,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
81785132,近藤　大亮,"
                    2019                ",オリックス,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
21025132,竹安　大知,"
                    2017                ",阪　神,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
21025132,竹安　大知,"
                    2018                ",阪　神,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
21025132,竹安　大知,"
                    2019                ",オリックス,10,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,.000,.000,.000
21025132,竹安　大知,"
                    2020                ",オリックス,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
41845151,村西　良太,"
                    2020                ",オリックス,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
11015139,東明　大貴,"
                    2014                ",オリックス,26,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.000,.000,.000
11015139,東明　大貴,"
                    2015                ",オリックス,25,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,.250,.250,.250
11015139,東明　大貴,"
                    2016                ",オリックス,24,5,4,0,1,0,0,0,1,1,0,0,1,0,0,0,3,0,.250,.250,.250
11015139,東明　大貴,"
                    2017                ",オリックス,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
11015139,東明　大貴,"
                    2018                ",オリックス,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
11015139,東明　大貴,"
                    2019                ",オリックス,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
11015139,東明　大貴,"
                    2020                ",オリックス,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
23325136,アルバース,"
                    2018                ",オリックス,19,5,3,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,.000,.000,.000
23325136,アルバース,"
                    2019                ",オリックス,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
23325136,アルバース,"
                    2020                ",オリックス,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
61065138,富山　凌雅,"
                    2019                ",オリックス,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
61065138,富山　凌雅,"
                    2020                ",オリックス,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
41045136,田嶋　大樹,"
                    2018                ",オリックス,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000
41045136,田嶋　大樹,"
                    2019                ",オリックス,10,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,.000,.000,.000
41045136,田嶋　大樹,"
                    2020                ",オリックス,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
51755136,Ｋ－鈴木,"
                    2018                ",オリックス,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
51755136,Ｋ－鈴木,"
                    2019                ",オリックス,19,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,.000,.000,.000
51755136,Ｋ－鈴木,"
                    2020                ",オリックス,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
51855137,ディクソン,"
                    2013                ",オリックス,23,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
51855137,ディクソン,"
                    2014                ",オリックス,26,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,.000,.000,.000
51855137,ディクソン,"
                    2015                ",オリックス,20,5,4,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,.250,.250,.250
51855137,ディクソン,"
                    2016                ",オリックス,27,6,5,1,3,1,0,0,4,5,0,0,1,0,0,0,1,0,.600,.800,.600
51855137,ディクソン,"
                    2017                ",オリックス,25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
51855137,ディクソン,"
                    2018                ",オリックス,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
51855137,ディクソン,"
                    2019                ",オリックス,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
51855137,ディクソン,"
                    2020                ",オリックス,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
